True,Country,Year,Population,Source,Variable,Volume of Water ( $m^3$ )
0,Australia,2010,158.0,Total freshwater,Total gross abstraction,13842.0
1,Belgium,2009,900.0,Total freshwater,Total gross abstraction,6005.4
2,Canada,2009,4379.0,Total freshwater,Total gross abstraction,31513.2
3,Canada,2011,85.0,Total freshwater,Total gross abstraction,33335.5
4,China,2008,53270.0,Total freshwater,Total gross abstraction,588120.0
5,China,2009,823.0,Total freshwater,Total gross abstraction,593399.0
6,China,2010,38169.0,Total freshwater,Total gross abstraction,596890.0
7,Colombia,2012,119.0,Total freshwater,Total gross abstraction,35987.0
8,Denmark,2008,17410.0,Total freshwater,Total gross abstraction,693.7000099999998
9,Denmark,2009,9762.0,Total freshwater,Total gross abstraction,657.89001
10,Estonia,2008,67.0,Total freshwater,Total gross abstraction,1605.31006
11,France,2008,40486.0,Total freshwater,Total gross abstraction,29203.4082
12,France,2009,36197.0,Total freshwater,Total gross abstraction,29585.28711
13,France,2010,43083.0,Total freshwater,Total gross abstraction,28338.845210000003
14,Greece,2011,8778.0,Total freshwater,Total gross abstraction,9934.61035
15,Greece,2012,6202.0,Total freshwater,Total gross abstraction,9934.91016
16,Israel,2009,887.0,Total freshwater,Total gross abstraction,1313.0
17,Israel,2010,2726.0,Total freshwater,Total gross abstraction,1340.0
18,Israel,2011,1697.0,Total freshwater,Total gross abstraction,1266.0
19,Israel,2012,1436.0,Total freshwater,Total gross abstraction,1318.0
20,Israel,2013,1237.0,Total freshwater,Total gross abstraction,1296.0
21,Netherlands,2008,213417.0,Total freshwater,Total gross abstraction,10709.0
22,Netherlands,2009,228230.0,Total freshwater,Total gross abstraction,11398.0
23,Netherlands,2010,209325.0,Total freshwater,Total gross abstraction,10990.0
24,Poland,2008,28748.0,Total freshwater,Total gross abstraction,11365.0
25,Spain,2008,75531.0,Total freshwater,Total gross abstraction,35373.0
26,Spain,2009,4612.0,Total freshwater,Total gross abstraction,36122.0
27,Spain,2010,6119.0,Total freshwater,Total gross abstraction,35224.0
28,Spain,2011,6197.0,Total freshwater,Total gross abstraction,34993.0
29,Spain,2012,4431.0,Total freshwater,Total gross abstraction,34239.0
30,United States,2010,211175.0,Total freshwater,Total gross abstraction,489527.5592
